annotator_id,name,paper_ids,calibration_paper
ANN001,Maitreya,"iclr26_0hdSiZ1br0,colm25_9ffYcEiNw9,iclr25_yIdCQFvbYe,iclr24_UTGv8CayNt,iclr26_oLxx7OhAb1,iclr24_4IT2pgc9v6,iclr26_RTTYGeC2Io,iclr26_NmxEQakIPK,iclr26_xwOxp1kwiO,nips24_IAse6CAG26",nips24_IAse6CAG26
ANN002,Ketaki,"iclr26_rkdyFPgIE2,iclr26_qHfPIVFGxs,iclr25_znL549Ymoi,iclr26_0hdSiZ1br0,colm25_9ffYcEiNw9,iclr25_yIdCQFvbYe,iclr24_UTGv8CayNt,iclr26_oLxx7OhAb1,iclr24_4IT2pgc9v6,nips24_IAse6CAG26",nips24_IAse6CAG26
ANN003,Yash,"iclr25_c4498OydLP,iclr25_vrCT5uCdYp,iclr26_EJ8HnNTEAv,iclr26_rkdyFPgIE2,iclr26_qHfPIVFGxs,iclr25_znL549Ymoi,iclr26_0hdSiZ1br0,colm25_9ffYcEiNw9,iclr25_yIdCQFvbYe,nips24_IAse6CAG26",nips24_IAse6CAG26
ANN004,Archisha,"iclr25_xMOLUzo2Lk,iclr24_huwR9N2ea0,iclr24_ExZ5gonvhs,iclr25_c4498OydLP,iclr25_vrCT5uCdYp,iclr26_EJ8HnNTEAv,iclr26_rkdyFPgIE2,iclr26_qHfPIVFGxs,iclr25_znL549Ymoi,nips24_IAse6CAG26",nips24_IAse6CAG26
ANN005,Saumya,"nips24_r0eSCJ6qsL,iclr26_fbGmSV6tUw,iclr25_ReccFdn4zE,iclr25_xMOLUzo2Lk,iclr24_huwR9N2ea0,iclr24_ExZ5gonvhs,iclr25_c4498OydLP,iclr25_vrCT5uCdYp,iclr26_EJ8HnNTEAv,nips24_IAse6CAG26",nips24_IAse6CAG26
ANN006,Himani,"nips24_MncgmW8b6q,iclr26_0qFN7Ugt4k,iclr25_E1SaL8aK7k,nips24_r0eSCJ6qsL,iclr26_fbGmSV6tUw,iclr25_ReccFdn4zE,iclr25_xMOLUzo2Lk,iclr24_huwR9N2ea0,iclr24_ExZ5gonvhs,nips24_IAse6CAG26",nips24_IAse6CAG26
ANN007,Kripi,"iclr25_TbOcySs6g8,iclr26_5Rs6MpXD7D,iclr26_UaWHob8Zxx,nips24_MncgmW8b6q,iclr26_0qFN7Ugt4k,iclr25_E1SaL8aK7k,nips24_r0eSCJ6qsL,iclr26_fbGmSV6tUw,iclr25_ReccFdn4zE,nips24_IAse6CAG26",nips24_IAse6CAG26
ANN008,Vyakhya,"iclr26_EfxT5mUQgS,nips24_o9Lkiv1qpc,iclr26_UFwgg44VZq,iclr25_TbOcySs6g8,iclr26_5Rs6MpXD7D,iclr26_UaWHob8Zxx,nips24_MncgmW8b6q,iclr26_0qFN7Ugt4k,iclr25_E1SaL8aK7k,nips24_IAse6CAG26",nips24_IAse6CAG26
ANN009,Meemansa,"nips24_OP3sNTIE1O,iclr25_0x8wWloW2O,iclr25_0oWGVvC6oq,iclr26_EfxT5mUQgS,nips24_o9Lkiv1qpc,iclr26_UFwgg44VZq,iclr25_TbOcySs6g8,iclr26_5Rs6MpXD7D,iclr26_UaWHob8Zxx,nips24_IAse6CAG26",nips24_IAse6CAG26
ANN010,Paridhi,"iclr25_ybFRoGxZjs,nips23_hVVp8TXIPs,iclr26_mNx4wdJWrC,nips24_OP3sNTIE1O,iclr25_0x8wWloW2O,iclr25_0oWGVvC6oq,iclr26_EfxT5mUQgS,nips24_o9Lkiv1qpc,iclr26_UFwgg44VZq,nips24_IAse6CAG26",nips24_IAse6CAG26
