paper_id,is_calibration,num_annotators,annotator_ids
colm24_QbCHlIqbDJ,no,3,"ANN024,ANN025,ANN026"
colm24_oSG6qGkt1I,no,3,"ANN038,ANN039,ANN040"
colm24_wi9IffRhVM,no,3,"ANN015,ANN016,ANN017"
colm25_9ffYcEiNw9,no,3,"ANN001,ANN002,ANN003"
iclr24_3oTPsORaDH,no,3,"ANN040,ANN041,ANN042"
iclr24_4IT2pgc9v6,no,3,"ANN001,ANN002,ANN060"
iclr24_6N8TW504aa,no,3,"ANN016,ANN017,ANN018"
iclr24_7OO8tTOgh4,no,3,"ANN024,ANN025,ANN026"
iclr24_7gLfQT52Nn,no,3,"ANN048,ANN049,ANN050"
iclr24_ExZ5gonvhs,no,3,"ANN004,ANN005,ANN006"
iclr24_ExiBN1ZWJn,no,3,"ANN034,ANN035,ANN036"
iclr24_I2mIxuXA72,no,3,"ANN031,ANN032,ANN033"
iclr24_LSYhE2hLWG,no,3,"ANN055,ANN056,ANN057"
iclr24_MiMxv6ijvC,no,3,"ANN048,ANN049,ANN050"
iclr24_PAfnMGXief,no,3,"ANN011,ANN012,ANN013"
iclr24_Qyp3Rni2g1,no,3,"ANN028,ANN029,ANN030"
iclr24_Rry1SeSOQL,no,3,"ANN044,ANN045,ANN046"
iclr24_UTGv8CayNt,no,3,"ANN001,ANN002,ANN060"
iclr24_WOiOzHG2zD,no,3,"ANN049,ANN050,ANN051"
iclr24_ZAgrdEhcr4,no,3,"ANN018,ANN019,ANN020"
iclr24_bJx4iOIOxn,no,3,"ANN056,ANN057,ANN058"
iclr24_bXLOOoR2ft,no,3,"ANN012,ANN013,ANN014"
iclr24_gBLEHzKOfF,no,3,"ANN025,ANN026,ANN027"
iclr24_huwR9N2ea0,no,3,"ANN004,ANN005,ANN006"
iclr24_i7oU4nfKEA,no,3,"ANN052,ANN053,ANN054"
iclr24_ipWSxcmgsx,no,3,"ANN012,ANN013,ANN014"
iclr24_l4k0MJuO9D,no,3,"ANN053,ANN054,ANN055"
iclr24_otoggKnn0A,no,3,"ANN033,ANN034,ANN035"
iclr24_pTHfApDakA,no,3,"ANN027,ANN028,ANN029"
iclr24_wwotGBxtC3,no,3,"ANN023,ANN024,ANN025"
iclr25_0oWGVvC6oq,no,3,"ANN009,ANN010,ANN011"
iclr25_0x8wWloW2O,no,3,"ANN009,ANN010,ANN011"
iclr25_20mMK8UlFh,no,3,"ANN057,ANN058,ANN059"
iclr25_2JN73Z8f9Q,no,3,"ANN019,ANN020,ANN021"
iclr25_6Mg7pjG7Sw,no,3,"ANN058,ANN059,ANN060"
iclr25_6o9QUqUq9f,no,3,"ANN040,ANN041,ANN042"
iclr25_77gQUdQhE7,no,3,"ANN047,ANN048,ANN049"
iclr25_8w22WLy2R8,no,3,"ANN020,ANN021,ANN022"
iclr25_CGfWyU28Pd,no,3,"ANN058,ANN059,ANN060"
iclr25_CbfsKHiWEn,no,3,"ANN032,ANN033,ANN034"
iclr25_DtATVd5NLc,no,3,"ANN036,ANN037,ANN038"
iclr25_E1SaL8aK7k,no,3,"ANN006,ANN007,ANN008"
iclr25_EhSUM1FcJw,no,3,"ANN049,ANN050,ANN051"
iclr25_I0HfqpSH8f,no,3,"ANN054,ANN055,ANN056"
iclr25_L5godAOC2z,no,3,"ANN037,ANN038,ANN039"
iclr25_NiNIthntx7,no,3,"ANN015,ANN016,ANN017"
iclr25_OnMRWwOqCs,no,3,"ANN039,ANN040,ANN041"
iclr25_ReccFdn4zE,no,3,"ANN005,ANN006,ANN007"
iclr25_TbOcySs6g8,no,3,"ANN007,ANN008,ANN009"
iclr25_TmKeT3IFTZ,no,3,"ANN045,ANN046,ANN047"
iclr25_beAlX6RjsW,no,3,"ANN034,ANN035,ANN036"
iclr25_c4498OydLP,no,3,"ANN003,ANN004,ANN005"
iclr25_cjpTu0Op5t,no,3,"ANN041,ANN042,ANN043"
iclr25_d4njmzM7jf,no,3,"ANN039,ANN040,ANN041"
iclr25_dIoLjHet58,no,3,"ANN033,ANN034,ANN035"
iclr25_dNT3abOsLo,no,3,"ANN046,ANN047,ANN048"
iclr25_dugoA2gfhs,no,3,"ANN031,ANN032,ANN033"
iclr25_fBkdjUnymd,no,3,"ANN029,ANN030,ANN031"
iclr25_fn0mjkZopf,no,3,"ANN056,ANN057,ANN058"
iclr25_hcVd3zpVvg,no,3,"ANN057,ANN058,ANN059"
iclr25_o8vCBFonHC,no,3,"ANN051,ANN052,ANN053"
iclr25_ok5NweADUB,no,3,"ANN013,ANN014,ANN015"
iclr25_prTI7MSt2X,no,3,"ANN034,ANN035,ANN036"
iclr25_qPTFzmXVLd,no,3,"ANN047,ANN048,ANN049"
iclr25_qSEEQPNbu4,no,3,"ANN048,ANN049,ANN050"
iclr25_sAxdIJ4l6z,no,3,"ANN020,ANN021,ANN022"
iclr25_tZCqSVncRf,no,3,"ANN031,ANN032,ANN033"
iclr25_taHwqSrbrb,no,3,"ANN017,ANN018,ANN019"
iclr25_uffmkDtlR2,no,3,"ANN052,ANN053,ANN054"
iclr25_uvHmnahyp1,no,3,"ANN042,ANN043,ANN044"
iclr25_vrCT5uCdYp,no,3,"ANN003,ANN004,ANN005"
iclr25_vw0NurJ7UX,no,3,"ANN025,ANN026,ANN027"
iclr25_xMOLUzo2Lk,no,3,"ANN004,ANN005,ANN006"
iclr25_y5G1BfV7Am,no,3,"ANN035,ANN036,ANN037"
iclr25_yIdCQFvbYe,no,3,"ANN001,ANN002,ANN003"
iclr25_ybFRoGxZjs,no,3,"ANN010,ANN011,ANN012"
iclr25_znL549Ymoi,no,3,"ANN002,ANN003,ANN004"
iclr26_0cKUfYFeaf,no,3,"ANN041,ANN042,ANN043"
iclr26_0hdSiZ1br0,no,3,"ANN001,ANN002,ANN003"
iclr26_0qFN7Ugt4k,no,3,"ANN006,ANN007,ANN008"
iclr26_3YKeB9R1g9,no,3,"ANN032,ANN033,ANN034"
iclr26_4DWFxTdsW3,no,3,"ANN019,ANN020,ANN021"
iclr26_4Z0P4Nbosn,no,3,"ANN025,ANN026,ANN027"
iclr26_4pQAHzsFlv,no,3,"ANN030,ANN031,ANN032"
iclr26_5Rs6MpXD7D,no,3,"ANN007,ANN008,ANN009"
iclr26_8jSoX4piAf,no,3,"ANN013,ANN014,ANN015"
iclr26_9CpHEbtvA9,no,3,"ANN055,ANN056,ANN057"
iclr26_9ImUlAi3Yz,no,3,"ANN050,ANN051,ANN052"
iclr26_AXXCo0pOSO,no,3,"ANN026,ANN027,ANN028"
iclr26_DYujKV4Ama,no,3,"ANN030,ANN031,ANN032"
iclr26_EDAgekcxwi,no,3,"ANN017,ANN018,ANN019"
iclr26_EJ8HnNTEAv,no,3,"ANN003,ANN004,ANN005"
iclr26_EfxT5mUQgS,no,3,"ANN008,ANN009,ANN010"
iclr26_F2USOqa0La,no,3,"ANN014,ANN015,ANN016"
iclr26_GIoNMdPLLO,no,3,"ANN044,ANN045,ANN046"
iclr26_Hghm8tVvbs,no,3,"ANN012,ANN013,ANN014"
iclr26_I9f5NdjBvK,no,3,"ANN044,ANN045,ANN046"
iclr26_J9qGnGOfuY,no,3,"ANN016,ANN017,ANN018"
iclr26_LDRcGTAF4s,no,3,"ANN022,ANN023,ANN024"
iclr26_LnYzMi3s0s,no,3,"ANN043,ANN044,ANN045"
iclr26_MMLAvR1juf,no,3,"ANN051,ANN052,ANN053"
iclr26_N0Wh7ND71X,no,3,"ANN049,ANN050,ANN051"
iclr26_NmxEQakIPK,no,3,"ANN001,ANN059,ANN060"
iclr26_PeI4a4qeLY,no,3,"ANN032,ANN033,ANN034"
iclr26_PyXp0b5hcn,no,3,"ANN053,ANN054,ANN055"
iclr26_RTTYGeC2Io,no,3,"ANN001,ANN059,ANN060"
iclr26_UFwgg44VZq,no,3,"ANN008,ANN009,ANN010"
iclr26_UaWHob8Zxx,no,3,"ANN007,ANN008,ANN009"
iclr26_YsruHaTNYS,no,3,"ANN055,ANN056,ANN057"
iclr26_Z2XIRLv535,no,3,"ANN056,ANN057,ANN058"
iclr26_ZHK6nBHRXw,no,3,"ANN030,ANN031,ANN032"
iclr26_bcOD0CLgBb,no,3,"ANN023,ANN024,ANN025"
iclr26_df4mr7eQg7,no,3,"ANN038,ANN039,ANN040"
iclr26_fbGmSV6tUw,no,3,"ANN005,ANN006,ANN007"
iclr26_hU2gT2Ucua,no,3,"ANN036,ANN037,ANN038"
iclr26_hYojmwkXwQ,no,3,"ANN043,ANN044,ANN045"
iclr26_iFrdyBKMff,no,3,"ANN028,ANN029,ANN030"
iclr26_iH2yiN1xsn,no,3,"ANN011,ANN012,ANN013"
iclr26_iZnJYZQnqf,no,3,"ANN024,ANN025,ANN026"
iclr26_ilPTK1CzBp,no,3,"ANN014,ANN015,ANN016"
iclr26_iyIzaoDVrT,no,3,"ANN019,ANN020,ANN021"
iclr26_kpLRYtPGt3,no,3,"ANN054,ANN055,ANN056"
iclr26_mNx4wdJWrC,no,3,"ANN010,ANN011,ANN012"
iclr26_nLVmi5OKql,no,3,"ANN029,ANN030,ANN031"
iclr26_oLxx7OhAb1,no,3,"ANN001,ANN002,ANN060"
iclr26_pIFZtIjHyB,no,3,"ANN026,ANN027,ANN028"
iclr26_qD4N15aL2W,no,3,"ANN015,ANN016,ANN017"
iclr26_qHfPIVFGxs,no,3,"ANN002,ANN003,ANN004"
iclr26_qreuQQYQPE,no,3,"ANN052,ANN053,ANN054"
iclr26_r00UxTl8El,no,3,"ANN016,ANN017,ANN018"
iclr26_rGoJxYibgj,no,3,"ANN042,ANN043,ANN044"
iclr26_rTte3iUsXV,no,3,"ANN053,ANN054,ANN055"
iclr26_reLSTmQg5G,no,3,"ANN011,ANN012,ANN013"
iclr26_rkdyFPgIE2,no,3,"ANN002,ANN003,ANN004"
iclr26_sC9gjsv7p7,no,3,"ANN037,ANN038,ANN039"
iclr26_sWs0cCuM8I,no,3,"ANN057,ANN058,ANN059"
iclr26_slbkP1quJj,no,3,"ANN037,ANN038,ANN039"
iclr26_tkwKLgCSmW,no,3,"ANN027,ANN028,ANN029"
iclr26_tvDlQj0GZB,no,3,"ANN029,ANN030,ANN031"
iclr26_ukGxWd2aDG,no,3,"ANN036,ANN037,ANN038"
iclr26_v2PglvLLKT,no,3,"ANN042,ANN043,ANN044"
iclr26_vVMT9ODgwR,no,3,"ANN043,ANN044,ANN045"
